1,100000000,359750,9.96e+07,359750,FALSE
2,80071950,-3617110,8.37e+07,368500,FALSE
3,66787750,-14041895,8.08e+07,381800,FALSE
4,60146536,-25905145,8.61e+07,385775,FALSE
5,60146536,-33292696,9.34e+07,395975,FALSE
6,40225731,-49053216,8.93e+07,401475,TRUE
7,388071,-61703720,6.21e+07,353175,TRUE
8,388071,-19091706,1.95e+07,353175,TRUE
9,388071,-5148286,5.54e+06,353175,TRUE
10,388071,-1049943,1.44e+06,353175,TRUE
11,388071,44198,3.44e+05,353175,TRUE
12,388071,311890,7.62e+04,353175,TRUE
13,388071,366088,2.20e+04,363125,TRUE
14,388071,376385,1.17e+04,383125,FALSE
15,385340,370245,1.51e+04,379200,FALSE
16,380485,374737,5.75e+03,382675,FALSE
17,380098,372479,7.62e+03,347425,FALSE
18,380098,373473,6.62e+03,372975,FALSE
19,379425,378339,1.09e+03,377625,FALSE
20,379365,378694,6.71e+02,347600,FALSE
21,379365,378740,6.25e+02,378550,FALSE
22,379270,378570,7.00e+02,373650,FALSE
23,379245,379162,8.25e+01,373650,FALSE
24,379245,379235,9.69e+00,373650,FALSE
25,379245,379243,1.10e+00,373650,FALSE
26,379245,379244,1.20e-01,373650,FALSE
27,379245,379244,1.26e-02,373650,FALSE
28,379245,379244,1.28e-03,373650,FALSE
29,379245,379244,1.26e-04,373650,FALSE
30,379245,379244,1.20e-05,373650,FALSE
31,379245,379244,1.10e-06,373650,FALSE
32,379245,379244,1.01e-07,373650,FALSE
